Console Name,Company,Gen Years,UnitsSold,Year,Genre,JP Sales,EU Sales,NA Sales,Other Sales,Global Sales
Magnavox Odyssey,Magnavox,1972-1978,0.35,2006.0,Sports,3.77,29.02,41.49,8.46,82.74
Home Pong,Atari,1972-1978,0.15,1985.0,Platform,6.81,3.58,29.08,0.77,40.24
Atari 2600,Atari,1978-1982,30.0,2008.0,Racing,3.79,12.88,15.85,3.31,35.82
Magnavox Odyssey 2,Magnavox,1978-1982,2.0,2009.0,Sports,3.28,11.01,15.75,2.96,33.0
Intellivision,Mattel,1978-1982,3.0,1996.0,Role-Playing,10.22,8.89,11.27,1.0,31.37
Atari 5200/7800,Atari,1982-1988,2.0,1989.0,Puzzle,4.22,2.26,23.2,0.58,30.26
Nintendo Entertainment System,Nintendo,1982-1988,62.0,2006.0,Platform,6.5,9.23,11.38,2.9,30.01
Sega Master System,Sega,1982-1988,13.0,2006.0,Misc,2.93,9.2,14.03,2.85,29.02
Sega Genesis,Sega,1988-1994,33.0,2009.0,Platform,4.7,7.06,14.59,2.26,28.62
Super Nintendo,Nintendo,1988-1994,49.0,1984.0,Shooter,0.28,0.63,26.93,0.47,28.31
PlayStation,Sony,1994-1998,102.0,2005.0,Simulation,1.93,11.0,9.07,2.75,24.76
Sega Saturn,Sega,1994-1998,9.0,2005.0,Racing,4.13,7.57,9.81,1.92,23.42
Nintendo 64,Nintendo,1994-1998,33.0,1999.0,Role-Playing,7.2,6.18,9.0,0.71,23.1
Sega Dreamcast,Sega,1998-2005,9.0,2007.0,Sports,3.6,8.03,8.94,2.15,22.72
PlayStation 2,Sony,1998-2005,155.0,2009.0,Sports,2.53,8.59,9.09,1.79,22.0
GameCube,Nintendo,1998-2005,22.0,2010.0,Misc,0.24,4.94,14.97,1.67,21.82
Xbox,Microsoft,1998-2005,24.0,2013.0,Action,0.97,9.27,7.01,4.14,21.4
Xbox 360,Microsoft,2005-2012,84.0,2004.0,Action,0.41,0.4,9.43,10.57,20.81
PlayStation 3,Sony,2005-2012,87.0,1990.0,Platform,3.54,3.75,12.78,0.55,20.61
Wii,Nintendo,2005-2012,101.0,2005.0,Misc,4.16,9.26,4.75,2.05,20.22
